[2026-05-11T21:18:44.887Z] GET http://localhost:3000/barberias → pending (?ms, ?B)
[2026-05-11T21:18:45.578Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1778534324926 → 404 (77ms, ?B)
[2026-05-11T21:18:45.581Z] GET http://localhost:3000/_next/static/css/app/barberias/layout.css?v=1778534324926 → 404 (78ms, ?B)
[2026-05-11T21:18:45.582Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1778534324926 → 200 (33ms, 56350B)
[2026-05-11T21:18:45.585Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1778534324926 → 404 (174ms, ?B)
[2026-05-11T21:18:45.585Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 404 (180ms, ?B)
[2026-05-11T21:18:45.586Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 404 (176ms, ?B)
[2026-05-11T21:18:45.587Z] GET http://localhost:3000/_next/static/chunks/app/barberias/page.js → 404 (185ms, ?B)
[2026-05-11T21:19:40.245Z] GET http://localhost:3000/barberias → 200 (243ms, 40871B)
[2026-05-11T21:19:40.500Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1778534380269 → 404 (71ms, ?B)
[2026-05-11T21:19:40.500Z] GET http://localhost:3000/_next/static/css/app/barberias/layout.css?v=1778534380269 → 404 (82ms, ?B)
[2026-05-11T21:19:40.500Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1778534380269 → 200 (32ms, 56350B)
[2026-05-11T21:19:40.501Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1778534380269 → 404 (159ms, ?B)
[2026-05-11T21:19:40.501Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 404 (165ms, ?B)
[2026-05-11T21:19:40.506Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 404 (164ms, ?B)
[2026-05-11T21:19:40.511Z] GET http://localhost:3000/_next/static/chunks/app/barberias/page.js → 404 (162ms, ?B)
[2026-05-11T21:20:12.028Z] GET http://localhost:3000/barberias → pending (?ms, ?B)
[2026-05-11T21:20:12.247Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1778534412045 → 404 (53ms, ?B)
[2026-05-11T21:20:12.248Z] GET http://localhost:3000/_next/static/css/app/barberias/layout.css?v=1778534412045 → 404 (56ms, ?B)
[2026-05-11T21:20:12.249Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1778534412045 → 200 (24ms, 56350B)
[2026-05-11T21:20:12.249Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1778534412045 → 404 (135ms, ?B)
[2026-05-11T21:20:12.249Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 404 (136ms, ?B)
[2026-05-11T21:20:12.249Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 404 (133ms, ?B)
[2026-05-11T21:20:12.249Z] GET http://localhost:3000/_next/static/chunks/app/barberias/page.js → 404 (140ms, ?B)
[2026-05-11T21:23:31.785Z] GET http://localhost:3002/barberias → 200 (184ms, 39919B)
[2026-05-11T21:23:31.981Z] GET http://localhost:3002/_next/static/css/d79bbaf8c9584c93.css → 200 (27ms, 92359B)
[2026-05-11T21:23:31.981Z] GET http://localhost:3002/_next/static/css/7dfd643b849ac952.css → 200 (22ms, 70024B)
[2026-05-11T21:23:31.981Z] GET http://localhost:3002/_next/static/css/028302dccfbd8f41.css → 200 (28ms, 1949B)
[2026-05-11T21:23:31.982Z] GET http://localhost:3002/_next/static/chunks/webpack-b6ecb7084653318f.js → 200 (139ms, 3811B)
[2026-05-11T21:23:31.983Z] GET http://localhost:3002/_next/static/chunks/fd9d1056-eeee1a01e369ed1b.js → 200 (140ms, 172835B)
[2026-05-11T21:23:31.983Z] GET http://localhost:3002/_next/static/chunks/2117-557b22e847b244c1.js → 200 (140ms, 123529B)
[2026-05-11T21:23:31.983Z] GET http://localhost:3002/_next/static/chunks/main-app-694e2d46c8f8c3f3.js → 200 (136ms, 464B)
[2026-05-11T21:23:31.983Z] GET http://localhost:3002/_next/static/chunks/2972-0251acc8e67dd84b.js → 200 (139ms, 26067B)
[2026-05-11T21:23:31.983Z] GET http://localhost:3002/_next/static/chunks/app/layout-988276403c54d810.js → 200 (138ms, 13578B)
[2026-05-11T21:23:31.983Z] GET http://localhost:3002/_next/static/chunks/6540-c122906528a1f672.js → 200 (139ms, 28942B)
[2026-05-11T21:23:31.983Z] GET http://localhost:3002/_next/static/chunks/app/barberias/page-3f81ef7b7c449b2f.js → 200 (139ms, 157B)
[2026-05-11T21:23:32.233Z] GET http://localhost:3002/_next/static/chunks/05f6971a.f41d7bcef493ee72.js → 200 (296ms, 1036032B)
[2026-05-11T21:23:32.248Z] GET http://localhost:3002/?_rsc=1kcrr → 200 (243ms, 184963B)
[2026-05-11T21:23:32.248Z] GET http://localhost:3002/login?_rsc=1kcrr → 200 (237ms, 5782B)
[2026-05-11T21:23:32.248Z] GET http://localhost:3002/barberias/barcelona?_rsc=1kcrr → 200 (192ms, ?B)
[2026-05-11T21:23:32.248Z] GET http://localhost:3002/r/demo-barber?_rsc=1kcrr → 200 (192ms, ?B)
[2026-05-11T21:23:32.259Z] GET http://localhost:3002/legal/cookies?_rsc=1kcrr → 200 (227ms, 23347B)
[2026-05-11T21:23:32.262Z] GET http://localhost:3002/_vercel/insights/script.js → 404 (264ms, ?B)
[2026-05-11T21:23:32.489Z] GET http://localhost:3002/_next/static/chunks/44530001-843f7204a6f30302.js → 200 (36ms, 60246B)
[2026-05-11T21:23:32.490Z] GET http://localhost:3002/_next/static/chunks/5069-499147e04af018fb.js → 200 (212ms, 172613B)
[2026-05-11T21:23:32.490Z] GET http://localhost:3002/_next/static/chunks/2990-45d32f3a32cc9347.js → 200 (36ms, 15136B)
[2026-05-11T21:23:32.491Z] GET http://localhost:3002/_next/static/chunks/app/login/page-edfcc960de60ec4c.js → 200 (38ms, 8044B)
[2026-05-11T21:23:32.494Z] GET http://localhost:3002/_next/static/chunks/app/legal/cookies/page-a2da13ed4a7cd4fb.js → 200 (33ms, 335B)
[2026-05-11T21:23:32.497Z] GET http://localhost:3002/_next/static/chunks/app/page-1ab1e862876b81ec.js → 200 (164ms, 7359B)
[2026-05-11T21:23:32.612Z] GET blob:http://localhost:3002/92b5fae9-d259-40ad-93d8-f266d4993ab7 → 200 (95ms, 478168B)
[2026-05-11T21:23:32.825Z] GET https://c.basemaps.cartocdn.com/light_all/7/62/48.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://b.basemaps.cartocdn.com/light_all/7/62/47.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://a.basemaps.cartocdn.com/light_all/7/63/48.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://c.basemaps.cartocdn.com/light_all/7/63/47.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://b.basemaps.cartocdn.com/light_all/7/61/48.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://a.basemaps.cartocdn.com/light_all/7/62/49.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://a.basemaps.cartocdn.com/light_all/7/61/47.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://b.basemaps.cartocdn.com/light_all/7/63/49.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://c.basemaps.cartocdn.com/light_all/7/61/49.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://a.basemaps.cartocdn.com/light_all/7/62/46.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://b.basemaps.cartocdn.com/light_all/7/64/48.png → pending (?ms, ?B)
[2026-05-11T21:23:32.827Z] GET https://b.basemaps.cartocdn.com/light_all/7/63/46.png → pending (?ms, ?B)
[2026-05-11T21:23:32.828Z] GET https://a.basemaps.cartocdn.com/light_all/7/64/47.png → pending (?ms, ?B)
[2026-05-11T21:23:32.828Z] GET https://c.basemaps.cartocdn.com/light_all/7/61/46.png → pending (?ms, ?B)
[2026-05-11T21:23:32.828Z] GET https://c.basemaps.cartocdn.com/light_all/7/64/49.png → pending (?ms, ?B)
[2026-05-11T21:23:32.828Z] GET https://c.basemaps.cartocdn.com/light_all/7/64/46.png → pending (?ms, ?B)
[2026-05-11T21:23:36.568Z] GET https://b.basemaps.cartocdn.com/light_all/15/16581/12238.png → 200 (129ms, 33898B)
[2026-05-11T21:23:36.570Z] GET https://c.basemaps.cartocdn.com/light_all/15/16581/12239.png → 200 (124ms, 31691B)
[2026-05-11T21:23:36.570Z] GET https://a.basemaps.cartocdn.com/light_all/15/16580/12238.png → 200 (94ms, 22559B)
[2026-05-11T21:23:36.571Z] GET https://c.basemaps.cartocdn.com/light_all/15/16582/12238.png → 200 (126ms, 33291B)
[2026-05-11T21:23:36.571Z] GET https://b.basemaps.cartocdn.com/light_all/15/16580/12239.png → 200 (254ms, 23021B)
[2026-05-11T21:23:36.571Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12237.png → 200 (259ms, 29094B)
[2026-05-11T21:23:36.571Z] GET https://a.basemaps.cartocdn.com/light_all/15/16582/12239.png → 200 (258ms, 32654B)
[2026-05-11T21:23:36.571Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12237.png → 200 (260ms, 30573B)
[2026-05-11T21:23:36.571Z] GET https://b.basemaps.cartocdn.com/light_all/15/16582/12237.png → 200 (260ms, 27790B)
[2026-05-11T21:23:36.571Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12240.png → 200 (260ms, 30872B)
[2026-05-11T21:23:36.571Z] GET https://c.basemaps.cartocdn.com/light_all/15/16579/12238.png → 200 (263ms, 22815B)
[2026-05-11T21:23:36.571Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12240.png → 200 (262ms, 29639B)
